Gene stable ID,f1fd4b74-1bd9-4ca1-a437-930df81489c0
ENSG00000144893,14
ENSG00000144895,4474
ENSG00000144908,37
ENSG00000144909,709
ENSG00000144935,165
ENSG00000144959,842
ENSG00000144962,0
ENSG00000145002,0
ENSG00000145012,6163
ENSG00000145014,546
ENSG00000145016,776
ENSG00000145020,54
ENSG00000145022,2198
ENSG00000145029,313
ENSG00000145040,0
ENSG00000145041,1228
ENSG00000145050,2992
ENSG00000145063,21
ENSG00000145075,142
ENSG00000145087,6
ENSG00000145088,2224
ENSG00000145103,657
ENSG00000145107,38
ENSG00000145113,10
ENSG00000145147,551
ENSG00000145191,1957
ENSG00000145192,0
ENSG00000145194,444
ENSG00000145198,26
ENSG00000145214,491
ENSG00000145216,1078
ENSG00000145217,93
ENSG00000145220,866
ENSG00000145241,443
ENSG00000145242,4
ENSG00000145244,431
ENSG00000145246,461
ENSG00000145247,1902
ENSG00000145248,6
ENSG00000145283,0
ENSG00000145284,859
ENSG00000145287,18
ENSG00000145293,3062
ENSG00000145309,0
ENSG00000145321,0
ENSG00000145331,384
ENSG00000145332,1032
ENSG00000145335,56
ENSG00000145337,183
ENSG00000145348,1337
ENSG00000145349,1859
ENSG00000145354,1798
ENSG00000145358,94
ENSG00000145362,112
ENSG00000145365,650
ENSG00000145375,321
ENSG00000145384,0
ENSG00000145386,1049
ENSG00000145388,906
ENSG00000145390,2404
ENSG00000145391,3149
ENSG00000145414,370
ENSG00000145416,253
ENSG00000145423,78426
ENSG00000145425,10476
ENSG00000145428,4
ENSG00000145431,1100
ENSG00000145439,944
ENSG00000145451,139
ENSG00000145476,325
ENSG00000145491,890
ENSG00000145494,2611
ENSG00000145495,6654
ENSG00000145506,204
ENSG00000145526,6
ENSG00000145536,395
ENSG00000145545,686
ENSG00000145555,2365
ENSG00000145569,318
ENSG00000145592,40946
ENSG00000145604,873
ENSG00000145623,1299
ENSG00000145626,2
ENSG00000145632,5107
ENSG00000145642,0
ENSG00000145649,138
ENSG00000145675,4026
ENSG00000145681,137
ENSG00000145685,1634
ENSG00000145687,2186
ENSG00000145692,0
ENSG00000145700,0
ENSG00000145703,3763
ENSG00000145708,12
ENSG00000145715,3871
ENSG00000145721,44
ENSG00000145723,237
ENSG00000145725,1303
ENSG00000145730,3345
ENSG00000145734,1209
ENSG00000145736,283
ENSG00000145740,2741
ENSG00000145741,23506
ENSG00000145743,1183
ENSG00000145757,42
ENSG00000145777,0
ENSG00000145779,1361
ENSG00000145780,2751
ENSG00000145781,2398
ENSG00000145782,2377
ENSG00000145794,180
ENSG00000145808,126
ENSG00000145817,2560
ENSG00000145819,392
ENSG00000145824,3416
ENSG00000145826,0
ENSG00000145832,18
ENSG00000145833,1553
ENSG00000145835,0
ENSG00000145839,0
ENSG00000145850,2
ENSG00000145860,901
ENSG00000145861,199
ENSG00000145863,0
ENSG00000145864,92
ENSG00000145868,1173
ENSG00000145879,0
ENSG00000145882,651
ENSG00000145888,0
ENSG00000145901,3332
ENSG00000145907,7735
ENSG00000145908,406
ENSG00000145911,528
ENSG00000145912,737
ENSG00000145916,1908
ENSG00000145919,1552
ENSG00000145920,7
ENSG00000145934,18
ENSG00000145936,93
ENSG00000145945,371
ENSG00000145949,46
ENSG00000145975,0
ENSG00000145979,1305
ENSG00000145982,889
ENSG00000145990,580
ENSG00000145996,927
ENSG00000146001,15
ENSG00000146005,8
ENSG00000146006,19
ENSG00000146007,2925
ENSG00000146013,20
ENSG00000146021,182
ENSG00000146038,145
ENSG00000146039,0
ENSG00000146047,0
ENSG00000146049,13
ENSG00000146054,12
ENSG00000146063,1670
ENSG00000146066,4257
ENSG00000146067,1123
ENSG00000146070,161
ENSG00000146072,2709
ENSG00000146083,1306
ENSG00000146085,3348
ENSG00000146090,0
ENSG00000146094,583
ENSG00000146109,2364
ENSG00000146112,3390
ENSG00000146122,341
ENSG00000146143,1244
ENSG00000146147,29
ENSG00000146151,0
ENSG00000146166,6
ENSG00000146192,99
ENSG00000146197,1224
ENSG00000146205,79
ENSG00000146215,9
ENSG00000146216,17
ENSG00000146221,73
ENSG00000146223,8690
ENSG00000146232,998
ENSG00000146233,20
ENSG00000146242,2025
ENSG00000146243,199
ENSG00000146247,3340
ENSG00000146250,24
ENSG00000146263,437
ENSG00000146267,598
ENSG00000146276,7
ENSG00000146278,4102
ENSG00000146281,99
ENSG00000146282,1500
ENSG00000146285,5
ENSG00000146350,67
ENSG00000146352,0
ENSG00000146360,0
ENSG00000146373,1133
ENSG00000146374,44
ENSG00000146376,2036
ENSG00000146378,0
ENSG00000146383,0
ENSG00000146385,0
ENSG00000146386,3624
ENSG00000146399,0
ENSG00000146409,300
ENSG00000146410,403
ENSG00000146411,76
ENSG00000146414,103
ENSG00000146416,2574
ENSG00000146425,6489
ENSG00000146426,326
ENSG00000146433,2174
ENSG00000146453,1
ENSG00000146457,3863
ENSG00000146463,2602
ENSG00000146469,0
ENSG00000146476,1920
ENSG00000146477,45
ENSG00000146521,25
ENSG00000146530,0
ENSG00000146535,3144
ENSG00000146540,3391
ENSG00000146555,226
ENSG00000146556,72
ENSG00000146574,488
ENSG00000146576,1127
ENSG00000146587,1554
ENSG00000146592,126
ENSG00000146618,0
ENSG00000146648,567
ENSG00000146666,0
ENSG00000146670,829
ENSG00000146674,12909
ENSG00000146676,5380
ENSG00000146677,64
ENSG00000146678,1
ENSG00000146700,75
ENSG00000146701,6272
ENSG00000146707,370
ENSG00000146722,0
ENSG00000146729,5296
ENSG00000146731,14841
ENSG00000146733,577
ENSG00000146755,1
ENSG00000146757,2159
ENSG00000146776,655
ENSG00000146802,1313
ENSG00000146809,5
ENSG00000146826,1060
ENSG00000146828,1325
ENSG00000146830,1844
ENSG00000146833,2537
ENSG00000146834,3960
ENSG00000146839,5
ENSG00000146842,1977
ENSG00000146856,81
ENSG00000146857,0
ENSG00000146858,67
ENSG00000146859,382
ENSG00000146872,919
ENSG00000146904,340
ENSG00000146909,909
ENSG00000146910,0
ENSG00000146918,999
ENSG00000146926,0
ENSG00000146938,93
ENSG00000146950,1769
ENSG00000146955,9
ENSG00000146963,3131
ENSG00000146966,426
ENSG00000147003,69
ENSG00000147010,2005
ENSG00000147027,912
ENSG00000147036,19
ENSG00000147041,199
ENSG00000147044,2556
ENSG00000147050,893
ENSG00000147059,4
ENSG00000147065,13673
ENSG00000147081,0
ENSG00000147082,31
ENSG00000147099,1322
ENSG00000147100,354
ENSG00000147113,1410
ENSG00000147117,0
ENSG00000147118,458
ENSG00000147119,261
ENSG00000147121,697
ENSG00000147123,7341
ENSG00000147124,566
ENSG00000147127,30
ENSG00000147130,2203
ENSG00000147133,1847
ENSG00000147138,0
ENSG00000147140,24856
ENSG00000147144,1125
ENSG00000147145,92
ENSG00000147155,2436
ENSG00000147160,0
ENSG00000147162,3681
ENSG00000147164,2974
ENSG00000147166,16
ENSG00000147168,354
ENSG00000147174,11
ENSG00000147180,347
ENSG00000147183,6
ENSG00000147202,392
ENSG00000147206,6
ENSG00000147223,0
ENSG00000147224,1535
ENSG00000147231,3
ENSG00000147234,224
ENSG00000147246,0
ENSG00000147251,291
ENSG00000147255,16
ENSG00000147256,0
ENSG00000147257,148
ENSG00000147262,0
ENSG00000147274,7822
ENSG00000147316,663
ENSG00000147324,671
ENSG00000147364,867
ENSG00000147378,5
ENSG00000147381,0
ENSG00000147383,824
ENSG00000147394,1028
ENSG00000147400,6543
ENSG00000147403,35232
ENSG00000147408,1232
ENSG00000147416,3305
ENSG00000147419,2351
ENSG00000147421,685
ENSG00000147432,0
ENSG00000147434,4
ENSG00000147437,11
ENSG00000147439,275
ENSG00000147443,86
ENSG00000147454,2486
ENSG00000147457,1062
ENSG00000147459,1056
ENSG00000147465,107
ENSG00000147471,2884
ENSG00000147475,3124
ENSG00000147481,0
ENSG00000147485,151
ENSG00000147488,0
ENSG00000147509,31
ENSG00000147526,2648
ENSG00000147533,2625
ENSG00000147535,4669
ENSG00000147536,213
ENSG00000147548,2901
ENSG00000147570,26
ENSG00000147571,0
ENSG00000147573,7
ENSG00000147576,123
ENSG00000147586,621
ENSG00000147588,0
ENSG00000147592,460
ENSG00000147596,0
ENSG00000147601,935
ENSG00000147604,14050
ENSG00000147606,15
ENSG00000147613,0
ENSG00000147614,93
ENSG00000147642,1049
ENSG00000147647,0
ENSG00000147649,4193
ENSG00000147650,524
ENSG00000147654,1315
ENSG00000147655,5
ENSG00000147669,5102
ENSG00000147676,10421
ENSG00000147677,10359
ENSG00000147679,857
ENSG00000147684,6855
ENSG00000147687,661
ENSG00000147689,158
ENSG00000147697,20
ENSG00000147724,4
ENSG00000147753,0
ENSG00000147761,0
ENSG00000147789,549
ENSG00000147799,1343
ENSG00000147804,1654
ENSG00000147813,1699
ENSG00000147852,726
ENSG00000147853,1132
ENSG00000147854,962
ENSG00000147862,10818
ENSG00000147869,0
ENSG00000147872,1552
ENSG00000147873,0
ENSG00000147874,884
ENSG00000147883,1561
ENSG00000147885,0
ENSG00000147889,477
ENSG00000147894,417
ENSG00000147896,0
ENSG00000147905,1234
ENSG00000147912,109
ENSG00000147955,3034
ENSG00000147996,159
ENSG00000148019,1139
ENSG00000148053,310
ENSG00000148057,266
ENSG00000148082,152
ENSG00000148090,291
ENSG00000148110,4055
ENSG00000148120,1066
ENSG00000148123,12
ENSG00000148136,0
ENSG00000148143,554
ENSG00000148153,1506
ENSG00000148154,2497
ENSG00000148156,0
ENSG00000148158,916
ENSG00000148175,4794
ENSG00000148180,9517
ENSG00000148187,1278
ENSG00000148200,42
ENSG00000148204,0
ENSG00000148215,0
ENSG00000148218,2346
ENSG00000148219,191
ENSG00000148225,297
ENSG00000148229,3387
ENSG00000148248,6037
ENSG00000148288,120
ENSG00000148290,1806
ENSG00000148291,840
ENSG00000148296,1434
ENSG00000148297,574
ENSG00000148300,923
ENSG00000148303,32888
ENSG00000148308,1364
ENSG00000148331,998
ENSG00000148334,1177
ENSG00000148335,321
ENSG00000148337,2058
ENSG00000148339,160
ENSG00000148341,1666
ENSG00000148343,417
ENSG00000148344,504
ENSG00000148346,2768
ENSG00000148356,463
ENSG00000148357,15
ENSG00000148358,3601
ENSG00000148362,1747
ENSG00000148377,0
ENSG00000148384,394
ENSG00000148386,0
ENSG00000148396,12047
ENSG00000148399,604
ENSG00000148400,1495
ENSG00000148408,7
ENSG00000148411,682
ENSG00000148426,290
ENSG00000148429,855
ENSG00000148444,2418
ENSG00000148450,2001
ENSG00000148459,338
ENSG00000148468,451
ENSG00000148481,1245
ENSG00000148482,0
ENSG00000148483,0
ENSG00000148484,4062
ENSG00000148488,597
ENSG00000148498,1451
ENSG00000148513,0
ENSG00000148516,2077
ENSG00000148541,105
ENSG00000148572,1207
ENSG00000148584,0
ENSG00000148600,4
ENSG00000148602,0
ENSG00000148604,1
ENSG00000148606,1109
ENSG00000148634,2106
ENSG00000148655,739
ENSG00000148660,1886
ENSG00000148671,0
ENSG00000148672,6915
ENSG00000148677,33
ENSG00000148680,31
ENSG00000148688,971
ENSG00000148690,552
ENSG00000148700,1104
ENSG00000148702,28
ENSG00000148704,0
ENSG00000148719,4366
ENSG00000148730,10650
ENSG00000148734,0
ENSG00000148735,12081
ENSG00000148737,1848
ENSG00000148773,1333
ENSG00000148795,0
ENSG00000148798,16
ENSG00000148803,80
ENSG00000148814,155
ENSG00000148824,63
ENSG00000148826,0
ENSG00000148832,83
ENSG00000148834,3459
ENSG00000148835,122
ENSG00000148840,1318
ENSG00000148841,1739
ENSG00000148842,132
ENSG00000148843,558
ENSG00000148848,8050
ENSG00000148908,4877
ENSG00000148925,1380
ENSG00000148926,1807
ENSG00000148935,0
ENSG00000148942,0
ENSG00000148943,2186
ENSG00000148948,217
ENSG00000148950,1431
ENSG00000148965,6
ENSG00000148985,1411
ENSG00000149016,763
ENSG00000149021,126
ENSG00000149043,4
ENSG00000149050,233
ENSG00000149054,21
ENSG00000149084,5108
ENSG00000149089,759
ENSG00000149090,107
ENSG00000149091,2225
ENSG00000149100,9220
ENSG00000149115,10077
ENSG00000149124,0
ENSG00000149131,19177
ENSG00000149133,0
ENSG00000149136,4483
ENSG00000149150,573
ENSG00000149177,1232
ENSG00000149179,1672
ENSG00000149182,3314
ENSG00000149187,5842
ENSG00000149196,1577
ENSG00000149201,25
ENSG00000149212,7726
ENSG00000149218,2800
ENSG00000149231,342
ENSG00000149243,175
ENSG00000149256,517
ENSG00000149257,21671
ENSG00000149260,591
ENSG00000149262,1007
ENSG00000149269,1503
ENSG00000149273,30836
ENSG00000149289,93
ENSG00000149292,795
ENSG00000149294,66
ENSG00000149295,7
ENSG00000149300,4
ENSG00000149305,0
ENSG00000149308,617
ENSG00000149311,1049
ENSG00000149313,2931
ENSG00000149328,1350
ENSG00000149346,1580
ENSG00000149357,3037
ENSG00000149380,772
ENSG00000149403,100
ENSG00000149418,4984
ENSG00000149428,3247
ENSG00000149435,7
ENSG00000149443,0
ENSG00000149451,30
ENSG00000149452,0
ENSG00000149474,938
ENSG00000149476,2043
ENSG00000149480,3943
ENSG00000149483,2482
ENSG00000149485,814
ENSG00000149488,20
ENSG00000149489,103
ENSG00000149499,998
ENSG00000149503,388
ENSG00000149506,10
ENSG00000149507,0
ENSG00000149516,0
ENSG00000149527,48
ENSG00000149531,69
ENSG00000149532,3974
ENSG00000149534,80
ENSG00000149541,1308
ENSG00000149547,9298
ENSG00000149548,271
ENSG00000149554,1122
ENSG00000149557,230
ENSG00000149564,2474
ENSG00000149571,11
ENSG00000149573,2463
ENSG00000149575,0
ENSG00000149577,1973
ENSG00000149582,2829
ENSG00000149591,12987
ENSG00000149596,199
ENSG00000149599,156
ENSG00000149600,5292
ENSG00000149609,10
ENSG00000149633,141
ENSG00000149634,5
ENSG00000149635,0
ENSG00000149636,1729
ENSG00000149639,4273
ENSG00000149646,11
ENSG00000149651,0
ENSG00000149654,0
ENSG00000149656,0
ENSG00000149657,3780
ENSG00000149658,5392
ENSG00000149679,796
ENSG00000149716,516
ENSG00000149735,6
ENSG00000149742,0
ENSG00000149743,2471
ENSG00000149761,615
ENSG00000149781,397
ENSG00000149782,2125
ENSG00000149792,2442
ENSG00000149798,758
ENSG00000149806,17924
ENSG00000149809,3646
ENSG00000149823,762
ENSG00000149922,359
ENSG00000149923,11378
ENSG00000149925,69127
ENSG00000149926,16
ENSG00000149927,96
ENSG00000149929,1273
ENSG00000149930,3413
ENSG00000149932,7547
ENSG00000149948,46
ENSG00000149968,28
ENSG00000149970,5
ENSG00000149972,0
ENSG00000150045,34
ENSG00000150048,111
ENSG00000150051,41
ENSG00000150054,543
ENSG00000150076,7
ENSG00000150093,10176
ENSG00000150175,0
ENSG00000150201,2
ENSG00000150244,0
ENSG00000150261,0
ENSG00000150269,0
ENSG00000150275,0
ENSG00000150276,2
ENSG00000150281,561
ENSG00000150316,5245
ENSG00000150337,151
ENSG00000150347,3606
ENSG00000150361,63
ENSG00000150394,19
ENSG00000150401,557
ENSG00000150403,978
ENSG00000150433,845
ENSG00000150455,232
ENSG00000150456,1040
ENSG00000150457,1365
ENSG00000150459,17677
ENSG00000150471,22
ENSG00000150477,157
ENSG00000150510,99
ENSG00000150526,0
ENSG00000150527,514
ENSG00000150540,2594
ENSG00000150551,167
ENSG00000150556,7
ENSG00000150593,7809
ENSG00000150594,1464
ENSG00000150625,28
ENSG00000150627,3
ENSG00000150628,24
ENSG00000150630,556
ENSG00000150636,469
ENSG00000150637,31
ENSG00000150656,0
ENSG00000150667,278
ENSG00000150672,50
ENSG00000150676,31
ENSG00000150681,38
ENSG00000150687,13068
ENSG00000150712,781
ENSG00000150722,0
ENSG00000150732,0
ENSG00000150750,22
ENSG00000150753,6585
ENSG00000150756,725
ENSG00000150760,1605
ENSG00000150764,832
ENSG00000150768,2265
ENSG00000150773,443
ENSG00000150776,2038
ENSG00000150779,3329
ENSG00000150782,305
ENSG00000150783,8
ENSG00000150787,1891
ENSG00000150867,2268
ENSG00000150873,130
ENSG00000150893,7
ENSG00000150907,690
ENSG00000150938,1890
ENSG00000150961,3421
ENSG00000150967,434
ENSG00000150977,2266
ENSG00000150990,527
ENSG00000150991,22011
ENSG00000150995,284
ENSG00000151005,0
ENSG00000151006,36
ENSG00000151012,87
ENSG00000151014,137
ENSG00000151023,51
ENSG00000151025,89
ENSG00000151033,6
ENSG00000151062,112
ENSG00000151065,1094
ENSG00000151067,430
ENSG00000151079,0
ENSG00000151090,618
ENSG00000151092,792
ENSG00000151093,669
ENSG00000151116,1983
ENSG00000151117,1918
ENSG00000151131,1678
ENSG00000151135,6222
ENSG00000151136,255
ENSG00000151148,3111
ENSG00000151150,2495
ENSG00000151151,1355
ENSG00000151164,13
ENSG00000151176,6021
ENSG00000151208,637
ENSG00000151224,42
ENSG00000151229,1240
ENSG00000151233,967
ENSG00000151239,5867
ENSG00000151240,893
ENSG00000151247,1091
ENSG00000151276,1351
ENSG00000151287,418
ENSG00000151292,1689
ENSG00000151303,0
ENSG00000151304,557
ENSG00000151320,267
ENSG00000151322,132
ENSG00000151327,3556
ENSG00000151332,746
ENSG00000151338,857
ENSG00000151348,2726
ENSG00000151353,1006
ENSG00000151360,16
ENSG00000151364,80
ENSG00000151365,4
ENSG00000151366,3408
ENSG00000151376,379
ENSG00000151379,0
ENSG00000151388,2563
ENSG00000151413,1482
ENSG00000151414,2075
ENSG00000151418,0
ENSG00000151422,453
ENSG00000151445,1298
ENSG00000151458,5532
ENSG00000151461,1143
ENSG00000151465,2523
ENSG00000151466,399
ENSG00000151468,919
ENSG00000151470,538
ENSG00000151474,436
ENSG00000151475,0
ENSG00000151490,49
ENSG00000151491,3158
ENSG00000151498,569
ENSG00000151500,1960
ENSG00000151502,2460
ENSG00000151503,1307
ENSG00000151532,1187
ENSG00000151552,3700
ENSG00000151553,1417
ENSG00000151572,2
ENSG00000151575,693
ENSG00000151576,1126
ENSG00000151577,0
ENSG00000151611,508
ENSG00000151612,1242
ENSG00000151615,0
ENSG00000151617,2585
ENSG00000151623,42
ENSG00000151631,0
ENSG00000151632,90
ENSG00000151640,38
ENSG00000151650,12
ENSG00000151651,691
ENSG00000151655,0
ENSG00000151657,776
ENSG00000151665,457
ENSG00000151687,53
ENSG00000151689,275
ENSG00000151690,2404
ENSG00000151692,1114
ENSG00000151693,300
ENSG00000151694,433
ENSG00000151702,747
ENSG00000151704,4
ENSG00000151715,334
ENSG00000151718,1349
ENSG00000151725,1463
ENSG00000151726,4759
ENSG00000151729,999
ENSG00000151743,163
ENSG00000151746,472
ENSG00000151748,6060
ENSG00000151773,91
ENSG00000151778,44
ENSG00000151779,954
ENSG00000151789,265
ENSG00000151790,315
ENSG00000151806,961
ENSG00000151812,0
ENSG00000151834,0
ENSG00000151835,429
ENSG00000151838,6
ENSG00000151846,10
ENSG00000151849,621
ENSG00000151876,268
ENSG00000151881,696
ENSG00000151882,1365
ENSG00000151883,425
ENSG00000151892,12369
ENSG00000151893,7458
ENSG00000151914,2084
ENSG00000151917,157
ENSG00000151923,2983
ENSG00000151929,4800
ENSG00000151948,0
ENSG00000151952,2
ENSG00000151962,0
ENSG00000151963,0
ENSG00000151967,24
ENSG00000152034,0
ENSG00000152049,514
ENSG00000152056,154
ENSG00000152061,3401
ENSG00000152076,1300
ENSG00000152078,458
ENSG00000152082,5101
ENSG00000152086,65
ENSG00000152092,0
ENSG00000152093,0
ENSG00000152102,2560
ENSG00000152104,1252
ENSG00000152117,824
ENSG00000152127,1359
ENSG00000152128,48
ENSG00000152133,587
ENSG00000152137,491
ENSG00000152147,1437
ENSG00000152154,34
ENSG00000152192,0
ENSG00000152193,513
ENSG00000152207,107
ENSG00000152208,0
ENSG00000152213,210
ENSG00000152214,0
ENSG00000152217,693
ENSG00000152219,1673
ENSG00000152223,805
ENSG00000152229,415
ENSG00000152234,11424
ENSG00000152240,823
ENSG00000152242,893
ENSG00000152253,708
ENSG00000152254,0
ENSG00000152256,1181
ENSG00000152266,0
ENSG00000152270,57
ENSG00000152284,947
ENSG00000152291,6087
ENSG00000152292,70
ENSG00000152315,110
ENSG00000152332,8094
ENSG00000152348,642
ENSG00000152359,868
ENSG00000152377,5184
ENSG00000152380,95
ENSG00000152382,917
ENSG00000152402,1053
ENSG00000152404,1606
ENSG00000152409,662
ENSG00000152413,241
ENSG00000152422,329
ENSG00000152430,0
ENSG00000152433,116
ENSG00000152439,360
ENSG00000152443,580
ENSG00000152454,410
ENSG00000152455,347
ENSG00000152457,386
ENSG00000152463,0
ENSG00000152464,646
ENSG00000152465,283
ENSG00000152467,199
ENSG00000152475,101
ENSG00000152484,1463
ENSG00000152492,1821
ENSG00000152495,140
ENSG00000152503,1177
ENSG00000152518,12336
ENSG00000152520,2630
ENSG00000152527,213
ENSG00000152556,1052
ENSG00000152558,18432
ENSG00000152578,614
ENSG00000152580,24
ENSG00000152582,1171
ENSG00000152583,9201
ENSG00000152591,0
ENSG00000152592,0
ENSG00000152595,2
ENSG00000152601,10115
ENSG00000152611,1294
ENSG00000152620,1744
ENSG00000152642,3292
ENSG00000152661,8049
ENSG00000152669,6592
ENSG00000152670,0
ENSG00000152672,0
ENSG00000152683,1772
ENSG00000152684,715
ENSG00000152689,678
ENSG00000152700,6444
ENSG00000152705,40
ENSG00000152749,599
ENSG00000152760,46
ENSG00000152763,345
ENSG00000152766,1193
ENSG00000152767,2333
ENSG00000152778,480
ENSG00000152779,8
ENSG00000152782,49
ENSG00000152784,55
ENSG00000152785,0
ENSG00000152795,6582
ENSG00000152804,485
ENSG00000152818,3265
ENSG00000152822,0
ENSG00000152894,1646
ENSG00000152904,7446
ENSG00000152910,0
ENSG00000152926,2590
ENSG00000152931,138
ENSG00000152932,0
ENSG00000152936,29
ENSG00000152939,2465
ENSG00000152942,1289
ENSG00000152944,2628
ENSG00000152952,4115
ENSG00000152953,168
ENSG00000152954,0
ENSG00000152969,0
ENSG00000152977,490
ENSG00000152990,1011
ENSG00000153002,295
ENSG00000153006,2770
ENSG00000153012,115
ENSG00000153015,1082
ENSG00000153029,957
ENSG00000153037,2093
ENSG00000153044,789
ENSG00000153046,1214
ENSG00000153048,4655
ENSG00000153060,181
ENSG00000153064,68
ENSG00000153066,3972
ENSG00000153071,2330
ENSG00000153086,8
ENSG00000153093,12
ENSG00000153094,2051
ENSG00000153107,562
ENSG00000153113,8550
ENSG00000153130,5943
ENSG00000153132,3085
ENSG00000153140,1459
ENSG00000153147,3912
ENSG00000153157,0
ENSG00000153162,16
ENSG00000153165,0
ENSG00000153179,3676
ENSG00000153187,30179
ENSG00000153201,3803
ENSG00000153207,3607
ENSG00000153208,75
ENSG00000153214,4133
ENSG00000153230,0
ENSG00000153233,35
ENSG00000153234,475
ENSG00000153237,94
ENSG00000153246,700
ENSG00000153250,3340
ENSG00000153253,12
ENSG00000153266,0
ENSG00000153283,60
ENSG00000153291,11
ENSG00000153292,246
ENSG00000153294,13
ENSG00000153303,0
ENSG00000153310,2770
ENSG00000153317,1136
ENSG00000153339,1073
ENSG00000153347,361
ENSG00000153363,741
ENSG00000153391,697
ENSG00000153395,2615
ENSG00000153404,416
ENSG00000153406,5426
ENSG00000153443,1708
ENSG00000153446,2456
ENSG00000153485,857
ENSG00000153487,1796
ENSG00000153495,28
ENSG00000153498,0
ENSG00000153531,142
ENSG00000153551,1247
ENSG00000153558,720
ENSG00000153560,4093
ENSG00000153561,3831
ENSG00000153563,93
ENSG00000153574,1546
ENSG00000153684,4
ENSG00000153707,834
ENSG00000153714,3022
ENSG00000153721,239
ENSG00000153767,1062
ENSG00000153774,2551
ENSG00000153779,0
ENSG00000153786,1183
ENSG00000153789,80
ENSG00000153790,308
ENSG00000153802,0
ENSG00000153814,1069
ENSG00000153815,2073
ENSG00000153820,0
ENSG00000153822,4
ENSG00000153823,166
ENSG00000153827,7929
ENSG00000153832,576
ENSG00000153879,1944
ENSG00000153885,2466
ENSG00000153896,286
ENSG00000153898,38
ENSG00000153902,89
ENSG00000153904,3879
ENSG00000153914,3569
ENSG00000153922,3019
ENSG00000153923,2
ENSG00000153930,70
ENSG00000153933,136
ENSG00000153936,1545
ENSG00000153944,3238
ENSG00000153956,1014
ENSG00000153975,422
ENSG00000153976,136
ENSG00000153982,246
ENSG00000153989,1465
ENSG00000153993,197
ENSG00000154001,6210
ENSG00000154007,0
ENSG00000154016,26
ENSG00000154025,10
ENSG00000154027,338
ENSG00000154040,279
ENSG00000154059,1923
ENSG00000154065,80
ENSG00000154079,364
ENSG00000154080,1
ENSG00000154096,20642
ENSG00000154099,254
ENSG00000154102,325
ENSG00000154114,957
ENSG00000154118,82
ENSG00000154122,2657
ENSG00000154124,788
ENSG00000154127,100
ENSG00000154133,1452
ENSG00000154134,143
ENSG00000154143,0
ENSG00000154144,1121
ENSG00000154146,393
ENSG00000154153,2747
ENSG00000154162,0
ENSG00000154165,0
ENSG00000154174,5375
ENSG00000154175,175
ENSG00000154188,90
ENSG00000154198,583
ENSG00000154217,1007
ENSG00000154222,1095
ENSG00000154227,0
ENSG00000154229,110
ENSG00000154237,354
ENSG00000154240,219
ENSG00000154252,26
ENSG00000154258,29
ENSG00000154262,42
ENSG00000154263,7
ENSG00000154265,63
ENSG00000154269,2137
ENSG00000154274,166
ENSG00000154277,214
ENSG00000154305,9249
ENSG00000154309,262
ENSG00000154310,785
ENSG00000154316,5
ENSG00000154319,431
ENSG00000154328,315
ENSG00000154330,23
ENSG00000154342,0
ENSG00000154358,183
ENSG00000154359,608
ENSG00000154370,1499
ENSG00000154380,16691
ENSG00000154415,0
ENSG00000154429,861
ENSG00000154438,5
ENSG00000154447,2411
ENSG00000154451,158
ENSG00000154473,23015
ENSG00000154478,0
ENSG00000154479,231
ENSG00000154485,9
ENSG00000154493,14
ENSG00000154511,704
ENSG00000154518,6858
ENSG00000154529,0
ENSG00000154537,18
ENSG00000154545,0
ENSG00000154548,0
ENSG00000154553,2437
ENSG00000154556,1141
ENSG00000154582,2740
ENSG00000154589,378
ENSG00000154608,0
ENSG00000154611,0
ENSG00000154620,1
ENSG00000154639,3406
ENSG00000154640,1276
ENSG00000154642,1248
ENSG00000154645,10
ENSG00000154646,0
ENSG00000154654,1003
ENSG00000154655,32
ENSG00000154678,48
ENSG00000154710,146
ENSG00000154719,1790
ENSG00000154721,565
ENSG00000154723,7215
ENSG00000154727,1498
ENSG00000154734,595
ENSG00000154736,898
ENSG00000154743,510
ENSG00000154760,277
ENSG00000154764,0
ENSG00000154767,735
ENSG00000154781,1224
ENSG00000154783,1120
ENSG00000154803,698
ENSG00000154813,1331
ENSG00000154814,521
ENSG00000154822,141
ENSG00000154832,992
ENSG00000154839,263
ENSG00000154845,1962
ENSG00000154856,1206
ENSG00000154864,278
ENSG00000154874,3
ENSG00000154889,198
ENSG00000154898,0
ENSG00000154914,476
ENSG00000154917,85
ENSG00000154920,243
ENSG00000154928,74
ENSG00000154930,2639
ENSG00000154945,1274
ENSG00000154957,468
ENSG00000154975,0
ENSG00000154978,3396
ENSG00000154997,0
ENSG00000155008,960
ENSG00000155011,86
ENSG00000155016,261
ENSG00000155026,0
ENSG00000155034,290
ENSG00000155052,0
ENSG00000155066,3623
ENSG00000155070,0
ENSG00000155085,841
ENSG00000155087,5
ENSG00000155090,1379
ENSG00000155093,446
ENSG00000155096,8176
ENSG00000155097,2345
ENSG00000155099,257
ENSG00000155100,233
ENSG00000155111,2394
ENSG00000155115,3893
ENSG00000155158,782
ENSG00000155189,1188
ENSG00000155229,1253
ENSG00000155249,0
ENSG00000155252,844
ENSG00000155254,1900
ENSG00000155256,507
ENSG00000155265,18
ENSG00000155269,0
ENSG00000155275,467
ENSG00000155287,989
ENSG00000155304,1005
ENSG00000155307,99
ENSG00000155313,1691
ENSG00000155324,1210
ENSG00000155329,1372
